Timestamp (seconds passed),SmO2 filtered,HBDiff filtered,O2HB unfiltered,HHb unfiltered,Muscle state
0.011,69.7,21.5,34.6,13.1,2
0.036,69.7,21.5,34.6,13.1,2
0.151,69.7,21.5,34.6,13.1,2
0.239,69.7,21.5,34.6,13.1,2
0.341,69.7,21.5,34.6,13.1,2
0.449,69.7,21.5,34.6,13.1,2
0.537,69.7,21.5,34.6,13.1,2
0.644,69.7,21.5,34.6,13.1,2
0.733,69.7,21.5,34.6,13.1,2
0.840,69.7,21.5,34.6,13.1,2
0.943,69.7,21.5,34.5,13.1,2
1.027,69.7,21.5,34.5,13.1,2
1.140,69.7,21.5,34.5,13.1,2
1.247,69.7,21.5,34.5,13.1,2
1.379,69.7,21.5,34.5,13.1,2
1.483,69.7,21.5,34.5,13.1,2
1.586,69.7,21.5,34.5,13.1,2
1.628,69.7,21.5,34.5,13.1,2
1.739,69.7,21.5,34.5,13.1,2
1.845,69.7,21.5,34.5,13.1,2
1.933,69.7,21.5,34.5,13.1,2
2.033,69.7,21.5,34.5,13.1,2
2.138,69.7,21.5,34.5,13.1,2
2.227,69.7,21.5,34.5,13.1,2
2.334,69.7,21.5,34.5,13.1,2
2.421,69.7,21.5,34.5,13.1,2
2.529,69.7,21.5,34.5,13.1,2
2.631,69.7,21.5,34.5,13.1,2
2.724,69.7,21.5,34.5,13.1,2
2.826,69.7,21.5,34.5,13.0,2
2.931,69.7,21.5,34.5,13.0,2
3.022,69.7,21.4,34.5,13.0,2
3.129,69.7,21.4,34.5,13.0,2
3.242,69.7,21.4,34.5,13.0,2
3.322,69.7,21.4,34.5,13.0,2
3.432,69.7,21.4,34.5,13.0,2
3.624,69.7,21.4,34.4,13.0,2
3.626,69.7,21.4,34.4,13.0,2
3.730,69.7,21.4,34.4,13.0,2
3.835,69.7,21.4,34.4,13.0,2
3.923,69.7,21.4,34.4,13.0,2
4.027,69.7,21.4,34.4,13.0,2
4.119,69.7,21.4,34.4,13.0,2
4.338,69.7,21.4,34.4,13.0,2
4.339,69.7,21.4,34.4,13.0,2
4.419,69.7,21.4,34.3,13.0,2
4.524,69.7,21.4,34.3,13.0,2
4.627,69.7,21.4,34.3,12.9,2
4.733,69.7,21.4,34.3,12.9,2
4.824,69.7,21.4,34.3,12.9,2
4.932,69.7,21.4,34.3,12.9,2
5.062,69.7,21.4,34.3,12.9,2
5.170,69.7,21.4,34.3,12.9,2
5.228,69.7,21.4,34.3,12.9,2
5.319,69.7,21.4,34.3,12.9,2
5.422,69.8,21.4,34.3,12.9,2
5.623,69.8,21.4,34.3,12.9,2
5.625,69.8,21.4,34.2,12.9,2
5.787,69.8,21.4,34.2,12.9,2
5.812,69.8,21.4,34.2,12.9,2
5.919,69.8,21.4,34.2,12.9,2
6.022,69.8,21.3,34.2,12.9,2
6.114,69.8,21.3,34.2,12.9,2
6.222,69.8,21.3,34.2,12.9,2
6.325,69.7,21.3,34.2,12.9,2
6.415,69.7,21.3,34.2,12.9,2
6.579,69.7,21.3,34.2,12.9,2
6.621,69.7,21.3,34.2,12.9,2
6.743,69.7,21.3,34.2,12.9,2
6.864,69.7,21.3,34.2,12.9,2
6.923,69.7,21.3,34.2,12.9,2
7.059,69.7,21.3,34.2,12.9,2
7.177,69.7,21.3,34.2,12.9,2
7.237,69.7,21.3,34.2,12.9,2
7.315,69.7,21.3,34.2,12.9,2
7.417,69.8,21.3,34.2,12.9,2
7.652,69.8,21.3,34.2,12.9,2
7.653,69.8,21.3,34.2,12.9,2
7.747,69.8,21.3,34.2,12.9,2
7.809,69.8,21.3,34.2,12.9,2
7.912,69.7,21.3,34.2,12.9,2
8.080,69.7,21.3,34.2,12.9,2
8.105,69.7,21.3,34.2,12.9,2
8.214,69.7,21.3,34.2,12.9,2
8.302,69.8,21.3,34.2,12.9,2
8.408,69.8,21.3,34.2,12.9,2
8.578,69.8,21.3,34.2,12.9,2
8.601,69.8,21.3,34.2,12.9,2
8.738,69.8,21.3,34.2,12.9,2
8.811,69.8,21.3,34.2,12.9,2
8.907,69.8,21.3,34.2,12.9,2
9.069,69.8,21.3,34.2,12.9,2
9.111,69.8,21.3,34.2,12.9,2
9.203,69.8,21.3,34.2,12.9,2
9.308,69.8,21.3,34.2,12.9,2
9.412,69.8,21.3,34.2,12.9,2
9.564,69.8,21.3,34.2,12.9,2
9.607,69.8,21.3,34.2,12.9,2
9.700,69.8,21.3,34.2,12.9,2
9.804,69.8,21.3,34.2,12.9,2
9.912,69.8,21.3,34.2,12.9,2
9.997,69.8,21.3,34.2,12.9,2
10.103,69.8,21.3,34.2,12.9,2
10.207,69.8,21.3,34.2,12.9,2
10.298,69.8,21.3,34.2,12.9,2
10.407,69.8,21.3,34.2,12.9,2
10.568,69.8,21.3,34.2,12.9,2
10.597,69.8,21.3,34.2,12.9,2
10.704,69.8,21.3,34.2,12.9,2
10.794,69.8,21.3,34.2,12.9,2
10.901,69.8,21.3,34.2,12.9,2
11.062,69.8,21.3,34.2,12.9,2
11.091,69.8,21.3,34.2,12.9,2
11.201,69.8,21.3,34.3,12.9,2
11.305,69.8,21.3,34.3,12.9,2
11.399,69.8,21.3,34.3,12.9,2
11.501,69.8,21.3,34.3,12.9,2
11.600,69.8,21.3,34.3,12.9,2
11.697,69.8,21.3,34.3,12.9,2
11.805,69.8,21.3,34.3,12.9,2
11.905,69.8,21.4,34.3,12.9,2
11.994,69.8,21.4,34.3,12.9,2
12.101,69.8,21.4,34.3,12.9,2
12.203,69.8,21.4,34.3,12.9,2
12.294,69.8,21.4,34.3,12.9,2
12.401,69.8,21.4,34.3,12.9,2
12.488,69.8,21.4,34.3,12.9,2
12.595,69.8,21.4,34.3,12.9,2
12.706,69.8,21.4,34.3,12.9,2
12.790,69.8,21.4,34.3,12.9,2
12.894,69.8,21.4,34.3,12.9,2
12.999,69.8,21.4,34.3,12.9,2
13.089,69.8,21.4,34.3,12.9,2
13.195,69.8,21.4,34.3,12.9,2
13.281,69.8,21.4,34.3,12.9,2
13.390,69.8,21.4,34.3,12.9,2
13.490,69.8,21.4,34.3,12.9,2
13.583,69.8,21.4,34.3,12.9,2
13.691,69.8,21.4,34.3,12.9,2
13.793,69.8,21.4,34.3,12.9,2
13.883,69.8,21.4,34.3,12.9,2
13.991,69.8,21.4,34.3,12.9,2
14.091,69.8,21.4,34.3,12.9,2
14.181,69.8,21.4,34.3,12.9,2
14.287,69.8,21.4,34.3,12.9,2
14.391,69.8,21.4,34.3,12.9,2
14.485,69.8,21.4,34.3,12.9,2
14.588,69.8,21.4,34.3,12.9,2
14.695,69.8,21.4,34.4,12.9,2
14.784,69.8,21.4,34.4,12.9,2
14.893,69.8,21.4,34.4,12.9,2
14.979,69.8,21.4,34.4,12.9,2
15.084,69.8,21.4,34.4,12.9,2
15.192,69.8,21.5,34.4,12.9,2
15.277,69.8,21.5,34.4,12.9,2
15.385,69.8,21.5,34.4,12.9,2
15.489,69.8,21.5,34.4,12.9,2
15.625,69.8,21.5,34.4,12.9,2
15.686,69.8,21.5,34.4,12.9,2
15.777,69.8,21.5,34.4,12.9,2
15.878,69.8,21.5,34.4,12.9,2
