Time,TSI
1,61.31
2,61.31
3,61.29
4,61.29
5,61.24
6,61.24
7,61.16
8,61.16
9,61.06
10,61.06
11,60.98
12,60.98
13,60.94
14,60.94
15,60.9
16,60.9
17,60.84
18,60.84
19,60.79
20,60.79
21,60.78
22,60.78
23,60.79
24,60.79
25,60.76
26,60.76
27,60.71
28,60.71
29,60.65
30,60.65
31,60.6
32,60.6
33,60.56
34,60.56
35,60.54
36,60.54
37,60.51
38,60.51
39,60.5
40,60.5
41,60.5
42,60.5
43,60.48
44,60.48
45,60.42
46,60.42
47,60.3
48,60.3
49,60.15
50,60.15
51,60.0
52,60.0
53,59.89
54,59.89
55,59.82
56,59.82
57,59.8
58,59.8
59,59.8
60,59.8
61,59.84
62,59.84
63,59.87
64,59.87
65,59.86
66,59.86
67,59.81
68,59.81
69,59.74
70,59.74
71,59.65
72,59.65
73,59.57
74,59.57
75,59.51
76,59.51
77,59.49
78,59.49
79,59.5
80,59.5
81,59.47
82,59.47
83,59.37
84,59.37
85,59.25
86,59.25
87,59.17
88,59.17
89,59.11
90,59.11
91,59.11
92,59.11
93,59.14
94,59.14
95,59.1
96,59.1
97,58.91
98,58.91
99,58.74
100,58.74
101,58.72
102,58.72
103,58.73
104,58.73
105,58.71
106,58.71
107,58.69
108,58.69
109,58.68
110,58.68
111,58.69
112,58.69
113,58.7
114,58.7
115,58.73
116,58.73
117,58.79
118,58.79
119,58.83
120,58.83
121,58.76
122,58.76
123,58.62
124,58.62
125,58.43
126,58.43
127,58.23
128,58.23
129,58.06
130,58.06
131,57.93
132,57.93
133,57.92
134,57.92
135,57.99
136,57.99
137,58.09
138,58.09
139,58.2
140,58.2
141,58.3
142,58.3
143,58.36
144,58.36
145,58.37
146,58.37
147,58.33
148,58.33
149,58.3
150,58.3
151,58.29
152,58.29
153,58.32
154,58.32
155,58.35
156,58.35
157,58.41
158,58.41
159,58.51
160,58.51
161,58.66
162,58.66
163,58.78
164,58.78
165,58.81
166,58.81
167,58.77
168,58.77
169,58.72
170,58.72
171,58.66
172,58.66
173,58.62
174,58.62
175,58.61
176,58.61
177,58.58
178,58.58
179,58.52
180,58.52
181,58.46
182,58.46
183,58.41
184,58.41
185,58.36
186,58.36
187,58.32
188,58.32
189,58.28
190,58.28
191,58.25
192,58.25
193,58.25
194,58.25
195,58.21
196,58.21
197,58.16
198,58.16
199,58.14
200,58.14
201,58.2
202,58.2
203,58.27
204,58.27
205,58.27
206,58.27
207,58.23
208,58.23
209,58.19
210,58.19
211,58.15
212,58.15
213,58.11
214,58.11
215,58.08
216,58.08
217,58.06
218,58.06
219,58.05
220,58.05
221,58.03
222,58.03
223,58.0
224,58.0
225,58.01
226,58.01
227,58.03
228,58.03
229,58.02
230,58.02
231,58.02
232,58.02
233,58.0
234,58.0
235,57.98
236,57.98
237,57.95
238,57.95
239,57.93
240,57.93
241,57.93
242,57.93
243,57.91
244,57.91
245,57.87
246,57.87
247,57.82
248,57.82
249,57.78
250,57.78
251,57.73
252,57.73
253,57.68
254,57.68
255,57.62
256,57.62
257,57.56
258,57.56
259,57.52
260,57.52
261,57.51
262,57.51
263,57.51
264,57.51
265,57.51
266,57.51
267,57.51
268,57.51
269,57.49
270,57.49
271,57.45
272,57.45
273,57.42
274,57.42
275,57.41
276,57.41
277,57.39
278,57.39
279,57.41
280,57.41
281,57.46
282,57.46
283,57.51
284,57.51
285,57.53
286,57.53
287,57.52
288,57.52
289,57.48
290,57.48
291,57.43
292,57.43
293,57.37
294,57.37
295,57.33
296,57.33
297,57.33
298,57.33
299,57.33
300,57.33
301,57.33
302,57.33
303,57.32
304,57.32
305,57.31
306,57.31
307,57.28
308,57.28
309,57.24
310,57.24
311,57.19
312,57.19
313,57.15
314,57.15
315,57.13
316,57.13
317,57.15
318,57.15
319,57.17
320,57.17
321,57.18
322,57.18
323,57.18
324,57.18
325,57.13
326,57.13
327,57.09
328,57.09
329,57.06
330,57.06
331,57.02
332,57.02
333,56.95
334,56.95
335,56.89
336,56.89
337,56.87
338,56.87
339,56.88
340,56.88
341,56.92
342,56.92
343,56.97
344,56.97
345,57.04
346,57.04
347,57.1
348,57.1
349,57.15
350,57.15
351,57.16
352,57.16
353,57.14
354,57.14
355,57.11
356,57.11
357,57.07
358,57.07
359,57.03
360,57.03
361,56.99
362,56.99
363,56.94
364,56.94
365,56.9
366,56.9
367,56.87
368,56.87
369,56.82
370,56.82
371,56.75
372,56.75
373,56.7
374,56.7
375,56.7
376,56.7
377,56.72
378,56.72
379,56.71
380,56.71
381,56.73
382,56.73
383,56.79
384,56.79
385,56.83
386,56.83
387,56.83
388,56.83
389,56.82
390,56.82
391,56.78
392,56.78
393,56.74
394,56.74
395,56.7
396,56.7
397,56.66
398,56.66
399,56.63
400,56.63
401,56.61
402,56.61
403,56.56
404,56.56
405,56.51
406,56.51
407,56.51
408,56.51
409,56.52
410,56.52
411,56.49
412,56.49
413,56.46
414,56.46
415,56.42
416,56.42
417,56.41
418,56.41
419,56.44
420,56.44
421,56.46
422,56.46
423,56.46
424,56.46
425,56.44
426,56.44
427,56.36
428,56.36
429,56.23
430,56.23
431,56.1
432,56.1
433,55.99
434,55.99
435,55.94
436,55.94
437,55.92
438,55.92
439,55.94
440,55.94
441,55.99
442,55.99
443,56.02
444,56.02
445,56.02
446,56.02
447,56.02
448,56.02
449,56.03
450,56.03
451,56.04
452,56.04
453,56.03
454,56.03
455,56.0
456,56.0
457,55.99
458,55.99
459,56.0
460,56.0
461,55.98
462,55.98
463,55.95
464,55.95
465,55.9
466,55.9
467,55.84
468,55.84
469,55.8
470,55.8
471,55.78
472,55.78
473,55.8
474,55.8
475,55.84
476,55.84
477,55.85
478,55.85
479,55.8
480,55.8
481,55.71
482,55.71
483,55.62
484,55.62
485,55.57
486,55.57
487,55.55
488,55.55
489,55.53
490,55.53
491,55.48
492,55.48
493,55.46
494,55.46
495,55.45
496,55.45
497,55.45
498,55.45
499,55.46
500,55.46
501,55.51
502,55.51
503,55.55
504,55.55
505,55.55
506,55.55
507,55.51
508,55.51
509,55.48
510,55.48
511,55.46
512,55.46
513,55.44
514,55.44
515,55.42
516,55.42
517,55.44
518,55.44
519,55.48
520,55.48
521,55.5
522,55.5
523,55.49
524,55.49
525,55.47
526,55.47
527,55.46
528,55.46
529,55.46
530,55.46
531,55.46
532,55.46
533,55.44
534,55.44
535,55.42
536,55.42
537,55.39
538,55.39
539,55.39
540,55.39
541,55.4
542,55.4
543,55.39
544,55.39
545,55.33
546,55.33
547,55.26
548,55.26
549,55.22
550,55.22
551,55.23
552,55.23
553,55.27
554,55.27
555,55.32
556,55.32
557,55.35
558,55.35
559,55.38
560,55.38
561,55.41
562,55.41
563,55.42
564,55.42
565,55.38
566,55.38
567,55.34
568,55.34
569,55.34
570,55.34
571,55.35
572,55.35
573,55.37
574,55.37
575,55.39
576,55.39
577,55.4
578,55.4
579,55.4
580,55.4
581,55.41
582,55.41
583,55.42
584,55.42
585,55.41
586,55.41
587,55.42
588,55.42
589,55.43
590,55.43
591,55.42
592,55.42
593,55.36
594,55.36
595,55.26
596,55.26
597,55.16
598,55.16
599,55.1
600,55.1
601,55.06
602,55.06
603,55.07
604,55.07
605,55.14
606,55.14
607,55.21
608,55.21
609,55.26
610,55.26
611,55.28
612,55.28
613,55.28
614,55.28
615,55.27
616,55.27
617,55.29
618,55.29
619,55.32
620,55.32
621,55.34
622,55.34
623,55.38
624,55.38
625,55.42
