time,steps
2024-06-10 17:10:15,51
2024-06-10 17:40:15,32
2024-06-10 18:10:15,42
2024-06-10 18:40:15,6
2024-06-10 19:10:15,7
2024-06-10 19:40:15,56
2024-06-10 20:10:15,76
2024-06-10 20:40:15,23
2024-06-10 21:10:15,54
2024-06-10 21:40:15,23
2024-06-10 22:10:15,45
2024-06-10 22:40:15,69
2024-06-10 23:10:15,50
2024-06-10 23:40:15,2
2024-06-11 00:10:15,34
2024-06-11 00:40:15,40
2024-06-11 01:10:15,97
2024-06-11 01:40:15,2
2024-06-11 02:10:15,63
2024-06-11 02:40:15,33
2024-06-11 03:10:15,70
2024-06-11 03:40:15,38
2024-06-11 04:10:15,26
2024-06-11 04:40:15,15
2024-06-11 05:10:15,31
2024-06-11 05:40:15,25
2024-06-11 06:10:15,30
2024-06-11 06:40:15,49
2024-06-11 07:10:15,67
2024-06-11 07:40:15,89
2024-06-11 08:10:15,38
2024-06-11 08:40:15,48
2024-06-11 09:10:15,52
2024-06-11 09:40:15,33
2024-06-11 10:10:15,93
2024-06-11 10:40:15,43
2024-06-11 11:10:15,67
2024-06-11 11:40:15,47
2024-06-11 12:10:15,77
2024-06-11 12:40:15,9
2024-06-11 13:10:15,58
2024-06-11 13:40:15,91
2024-06-11 14:10:15,43
2024-06-11 14:40:15,87
2024-06-11 15:10:15,50
2024-06-11 15:40:15,50
2024-06-11 16:10:15,67
2024-06-11 16:40:15,54
2024-06-11 17:10:15,79
2024-06-11 17:40:15,28
2024-06-11 18:10:15,62
2024-06-11 18:40:15,47
2024-06-11 19:10:15,24
2024-06-11 19:40:15,15
2024-06-11 20:10:15,57
2024-06-11 20:40:15,66
2024-06-11 21:10:15,81
2024-06-11 21:40:15,92
2024-06-11 22:10:15,40
2024-06-11 22:40:15,58
2024-06-11 23:10:15,100
2024-06-11 23:40:15,88
2024-06-12 00:10:15,12
2024-06-12 00:40:15,29
2024-06-12 01:10:15,62
2024-06-12 01:40:15,29
2024-06-12 02:10:15,27
2024-06-12 02:40:15,91
2024-06-12 03:10:15,16
2024-06-12 03:40:15,5
2024-06-12 04:10:15,32
2024-06-12 04:40:15,20
2024-06-12 05:10:15,16
2024-06-12 05:40:15,92
2024-06-12 06:10:15,88
2024-06-12 06:40:15,32
2024-06-12 07:10:15,94
2024-06-12 07:40:15,56
2024-06-12 08:10:15,98
2024-06-12 08:40:15,96
2024-06-12 09:10:15,34
2024-06-12 09:40:15,55
2024-06-12 10:10:15,14
2024-06-12 10:40:15,64
2024-06-12 11:10:15,33
2024-06-12 11:40:15,66
2024-06-12 12:10:15,61
2024-06-12 12:40:15,13
2024-06-12 13:10:15,28
2024-06-12 13:40:15,64
2024-06-12 14:10:15,62
2024-06-12 14:40:15,63
2024-06-12 15:10:15,31
2024-06-12 15:40:15,42
2024-06-12 16:10:15,7
2024-06-12 16:40:15,84
2024-06-12 17:10:15,16
2024-06-12 17:40:15,83
2024-06-12 18:10:15,62
2024-06-12 18:40:15,42
2024-06-12 19:10:15,66
2024-06-12 19:40:15,4
2024-06-12 20:10:15,12
2024-06-12 20:40:15,38
2024-06-12 21:10:15,38
2024-06-12 21:40:15,4
2024-06-12 22:10:15,98
2024-06-12 22:40:15,9
2024-06-12 23:10:15,55
2024-06-12 23:40:15,52
2024-06-13 00:10:15,58
2024-06-13 00:40:15,18
2024-06-13 01:10:15,97
2024-06-13 01:40:15,45
2024-06-13 02:10:15,32
2024-06-13 02:40:15,48
2024-06-13 03:10:15,20
2024-06-13 03:40:15,85
2024-06-13 04:10:15,26
2024-06-13 04:40:15,93
2024-06-13 05:10:15,27
2024-06-13 05:40:15,16
2024-06-13 06:10:15,13
2024-06-13 06:40:15,52
2024-06-13 07:10:15,45
2024-06-13 07:40:15,71
2024-06-13 08:10:15,4
2024-06-13 08:40:15,39
2024-06-13 09:10:15,21
2024-06-13 09:40:15,30
2024-06-13 10:10:15,92
2024-06-13 10:40:15,48
2024-06-13 11:10:15,75
2024-06-13 11:40:15,2
2024-06-13 12:10:15,83
2024-06-13 12:40:15,94
2024-06-13 13:10:15,79
2024-06-13 13:40:15,64
